Feature,Feature Importance,Permutation Importance,Shap Importance
streamingmovies_yes,0.009415131011278699,0.004068568963267216,0.09062436145617933
totalcharges_binned,0.0007899560268632926,9.860182916474614e-05,0.006952696243850604
streamingtv_no internet service,0.0002515478717067992,2.0682082677581093e-06,0.0009072630641160833
onlinesecurity_no internet service,8.5320004632114e-05,2.930651115398142e-05,0.0002391108497561068
streamingmovies_no internet service,4.5047690444611204e-05,2.039253351999726e-05,3.304638040452229e-05
seniorcitizen_squared,0.006828652400484845,0.0018440144915217171,0.03517020274460299
tenure_binned,0.007789169265468755,0.00028900108229334975,0.022619801951648172
monthlycharges,0.1902223429166793,0.06412717578095031,0.3747185359832693
onlinebackup_no internet service,0.0,0.0,0.0
techsupport_yes,0.01223983278160192,0.0026542557624935847,0.05379483273822359
internetservice,0.011196131704839558,0.0011642357980791607,0.02942517965889871
deviceprotection_no internet service,0.0,0.0,0.0
contract,0.38422461240728345,0.10845526972227897,0.8359865244299185
seniorcitizen,0.005919345805356231,0.0010563373727509485,0.02482481675201946
dependents,0.0035657023088114287,0.0006696651550132104,0.01775236196941872
streamingtv_yes,0.006872148856134892,0.003375739875655226,0.0829634992606472
tenure,0.15751618555323335,0.031235477300069925,0.3201416286517338
total_services,0.06293576633929106,0.035503152673272864,0.30537255611112424
paperlessbilling,0.022451892057274655,0.005696641829553628,0.12100219170595135
onlinesecurity_yes,0.016782404384080286,0.0027451018106543048,0.08113981719279692
techsupport_no internet service,3.5241620613422076e-06,1.025831300807134e-05,8.073957514151682e-05
totalcharges,0.09996641520309045,0.020696901389691203,0.13300575930717626
monthlycharges_binned,0.0008988712493828278,1.9141267517985837e-05,0.007763398942601054
