Feature,Permutation Importance,Shap Importance
streamingmovies_yes,0.004424290444277989,0.17286887830791206
totalcharges_binned,0.012384358719969301,0.2623481161374873
streamingtv_no internet service,0.0021883298039358846,0.12632103978983794
onlinesecurity_no internet service,0.0021883298039358846,0.12632103978983794
streamingmovies_no internet service,0.0021883298039358846,0.12632103978983794
seniorcitizen_squared,0.0030051583182405086,0.09747114920461343
tenure_binned,0.06648767358213456,0.6243768050670054
monthlycharges_binned,0.0018126501131412454,0.10298499237350311
monthlycharges,0.0006478455577885178,0.06336785763120054
onlinebackup_no internet service,0.0021883298039358846,0.12632103978983794
techsupport_yes,0.0026117334005086646,0.1310364774713792
internetservice,0.034974818530236054,0.47568723002988345
deviceprotection_no internet service,0.0021883298039358846,0.12632103978983794
contract,0.04871730757338568,0.5872706147903453
dependents,0.0005191202752040213,0.06035161198502496
seniorcitizen,0.00024573416533204553,0.029442917724017064
streamingtv_yes,0.003896059711654476,0.17272203939511432
tenure,0.006155484174794101,0.20886594408633594
total_services,0.005334012532928423,0.1662226056050533
paperlessbilling,0.004350807004524971,0.18226673255515924
onlinesecurity_yes,0.0022613065326632766,0.12599547348074097
techsupport_no internet service,0.0021883298039358846,0.12632103978983794
totalcharges,0.018181742974244686,0.4141265633320165
