Feature,Feature Importance,Permutation Importance
streamingtv_no internet service,0.01170195356026288,0.0002834272610117594
totalcharges_binned,0.034947890072094465,0.006430473146073523
streamingmovies_no internet service,0.013423126857583506,0.0002525489115742241
onlinesecurity_no internet service,0.011774414877700163,0.0002889286950038539
streamingmovies_yes,0.009781378654288677,0.005617460476022784
seniorcitizen_squared,0.00860202365503209,0.0027573352625578805
tenure_binned,0.07992263160730467,0.012340150768246173
monthlycharges,0.11538682552747881,0.029823873452126958
onlinebackup_no internet service,0.013704107281629805,0.0003510680124083398
techsupport_yes,0.022127295279840947,0.007230187236962493
internetservice,0.04747944088705495,0.010825529466486915
deviceprotection_no internet service,0.017622000331536526,0.0006924981742890024
contract,0.15217161727763698,0.03811738860578555
seniorcitizen,0.008616118652062384,0.0027892063519638468
dependents,0.007678607266426566,0.004275265697545438
streamingtv_yes,0.010236414470257091,0.005589425912953594
tenure,0.14261430075453202,0.02931351203893686
total_services,0.08030487021738472,0.015781028863293977
onlinesecurity_yes,0.02970691554125675,0.007938620955954679
paperlessbilling,0.01859574288394688,0.009615731040269315
techsupport_no internet service,0.01059255081714949,0.0002654958953303366
totalcharges,0.12095572232488007,0.024182876766017027
monthlycharges_binned,0.03205405120265946,0.00931980146027902
